id,"Business Address",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
64,"1796 Mass. Ave.","1796 Massachusetts Ave",Cambridge,MA,,42.386068,-71.119453,1,rooftop,1796,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
65,"25 Edwin Land Blvd","25 Edwin Land Blvd",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
66,"1728 Mass. Ave.","1728 Massachusetts Ave",Cambridge,MA,,42.38414,-71.119664,1,rooftop,1728,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
67,"295 Third St.","295 Third St.",Cambridge,MA,,42.364427,-71.08338,1,rooftop,295,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
68,"364 Broadway","364 Broadway",Cambridge,MA,,42.37054,-71.104367,1,rooftop,364,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
70,"344 Huron Ave.","344 Huron Ave.",Cambridge,MA,,42.381162,-71.137997,1,rooftop,344,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
71,"10 Fawcett St","10 Fawcett St",Cambridge,MA,,42.389603,-71.145508,1,rooftop,10,"Fawcett St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
72,"319 Western Anve","319 Western Ave",Cambridge,MA,,42.364642,-71.113231,1,rooftop,319,"Western Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
73,"691 Concord Ave.","691 Concord Ave.",Cambridge,MA,,42.390266,-71.150974,1,rooftop,691,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
74,"245 Massachusetts Ave","245 Massachusetts Ave",Cambridge,MA,,42.361739,-71.097241,1,rooftop,245,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
75,"13A Brattle St","13A Brattle St",Cambridge,MA,,42.37345,-71.120147,0.9,rooftop,13,"Brattle St",Apt,A,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
76,"1766 Mass. Ave.","1766 Massachusetts Ave",Cambridge,MA,,42.385391,-71.119528,1,rooftop,1766,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
77,"187 Hampshire Street","187 Hampshire Street",Cambridge,MA,,42.372755,-71.099431,1,rooftop,187,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
78,"574 Cambridge St","574 Cambridge St",Cambridge,MA,,42.371713,-71.085925,1,rooftop,574,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
79,"15 Western Ave","15 Western Ave",Cambridge,MA,,42.36535,-71.104985,1,rooftop,15,"Western Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
80,"1 Bennett St.","1 Bennett St.",Cambridge,MA,,42.371992,-71.122511,1,rooftop,1,"Bennett St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
82,"5 Cambridge Park Dri","5 Cambridge Park Dri",Cambridge,MA,,42.394984,-71.141351,1,rooftop,5,"Cambridgepark Dr",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
83,"799 Main St","799 Main St",Cambridge,MA,,42.363357,-71.097282,1,rooftop,799,"Main St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
84,"397 Cambridge St","397 Cambridge St",Cambridge,MA,,42.371492,-71.082726,1,rooftop,397,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
86,"1071 Cambridge Street","1071 Cambridge Street",Cambridge,MA,,42.373083,-71.095123,1,rooftop,1071,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
87,"350 Main St","350 Main St",Cambridge,MA,,42.362397,-71.087277,1,rooftop,350,"Main St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
88,"56 JFK St.","56 JFK St.",Cambridge,MA,,42.371797,-71.120616,1,rooftop,56,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
89,"1350 Mass Ave.","1350 Massachusetts Ave",Cambridge,MA,,42.372971,-71.11848,1,rooftop,1350,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
90,"One Canal Park","One Canal Park",Cambridge,MA,,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
91,"2325 Mass. Ave.","2325 Massachusetts Ave",Cambridge,MA,,42.395864,-71.128267,1,rooftop,2325,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
92,"88 Ames St","88 Ames St",Cambridge,MA,,42.363312,-71.087597,1,rooftop,88,"Ames St",,,Cambridge,MA,"Middlesex County",02142,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
93,"40 Bow St","40 Bow St",Cambridge,MA,,42.371503,-71.116757,1,rooftop,40,"Bow St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
94,"1295 Cambridge Street","1295 Cambridge Street",Cambridge,MA,,42.373602,-71.099037,1,rooftop,1295,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
95,"1704 Mass. Ave.","1704 Massachusetts Ave",Cambridge,MA,,42.383247,-71.119757,1,rooftop,1704,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
96,"2034 Mass Ave.","2034 Massachusetts Ave",Cambridge,MA,,42.390731,-71.122203,1,rooftop,2034,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
97,"65 Mt. Auburn St","65 Mt. Auburn St",Cambridge,MA,,42.371953,-71.118066,1,rooftop,65,"Mt Auburn St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
