id,"Business Address",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
314,"1672 Mass. Ave.","1672 Massachusetts Ave",Cambridge,MA,,42.382143,-71.119878,1,rooftop,1672,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
315,"1132 Massachusetts Ave","1132 Massachusetts Ave",Cambridge,MA,,42.37087,-71.114145,1,rooftop,1132,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
316,"2234 Mass. Ave.","2234 Massachusetts Ave",Cambridge,MA,,42.393827,-71.126469,1,rooftop,2234,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
317,"875 Main St","875 Main St",Cambridge,MA,,42.363485,-71.098957,1,rooftop,875,"Main St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
318,"5 Craigie Circle","5 Craigie Circle",Cambridge,MA,,42.379212,-71.127052,1,rooftop,5,"Craigie Cir",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
319,"94 Hampshire Street","94 Hampshire Street",Cambridge,MA,,42.368895,-71.095148,1,rooftop,94,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
320,"244 Huron Ave","244 Huron Ave",Cambridge,MA,,42.381396,-71.133764,1,rooftop,244,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
322,"889 Cambridge St","889 Cambridge St",Cambridge,MA,,42.372648,-71.0917,1,rooftop,889,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
323,"157 Hampshire Street","157 Hampshire Street",Cambridge,MA,,42.371703,-71.098189,1,rooftop,157,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
324,"2310 Mass. Ave.","2310 Massachusetts Ave",Cambridge,MA,,42.395485,-71.12833,1,rooftop,2310,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
326,"1798 Mass. Ave","1798 Massachusetts Ave",Cambridge,MA,,42.386085,-71.11945,1,rooftop,1798,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
327,"2408 Mass. Ave.","2408 Massachusetts Ave",Cambridge,MA,,42.397387,-71.13048,1,rooftop,2408,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
329,"300 Third Street","300 Third Street",Cambridge,MA,,42.365506,-71.08233,1,rooftop,300,"3rd St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
330,"2230 Mass. Ave.","2230 Massachusetts Ave",Cambridge,MA,,42.393735,-71.126365,1,rooftop,2230,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
331,"1939 Mass. Ave.","1939 Massachusetts Ave",Cambridge,MA,,42.389708,-71.120047,1,rooftop,1939,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
332,"200 Broadway","200 Broadway",Cambridge,MA,,42.366,-71.092848,1,rooftop,200,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
333,"1343 Cambridge Street","1343 Cambridge Street",Cambridge,MA,,42.373722,-71.099962,1,rooftop,1343,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
334,"2038 Mass Ave.","2038 Massachusetts Ave",Cambridge,MA,,42.390785,-71.122315,1,rooftop,2038,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
335,"231 Alewife Brook Parkway","231 Alewife Brook Parkway",Cambridge,MA,,42.389268,-71.143598,1,rooftop,231,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
336,"1764 Mass. Ave","1764 Massachusetts Ave",Cambridge,MA,,42.385349,-71.119532,1,rooftop,1764,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
337,"1682 Mass Ave.","1682 Massachusetts Ave",Cambridge,MA,,42.382513,-71.119829,1,rooftop,1682,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
338,"450 Kendall Street","450 Kendall Street",Cambridge,MA,,42.363495,-71.081729,1,rooftop,450,"Kendall St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
339,"987 Massachusetts Ave","987 Massachusetts Ave",Cambridge,MA,,42.36931,-71.110847,1,rooftop,987,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
340,"777 Cambridge Street.","777 Cambridge Street.",Cambridge,MA,,42.372378,-71.089599,1,rooftop,777,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
341,"52 JFK St.","52 JFK St.",Cambridge,MA,,42.371939,-71.120523,1,rooftop,52,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
342,"520 Massachusetts Ave.","520 Massachusetts Ave.",Cambridge,MA,,42.364172,-71.101942,1,rooftop,520,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
343,"435 Cambridge St","435 Cambridge St",Cambridge,MA,,42.371578,-71.083425,1,rooftop,435,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
344,"150 First St","150 First St",Cambridge,MA,,42.366274,-71.077811,1,rooftop,150,"1st St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
345,"1230 Mass Ave","1230 Massachusetts Ave",Cambridge,MA,,42.372266,-71.115832,1,rooftop,1230,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
346,"90 Sherman St","90 Sherman St",Cambridge,MA,,42.3885,-71.132386,1,rooftop,90,"Sherman St",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
347,"364 Huron Ave.","364 Huron Ave.",Cambridge,MA,,42.381067,-71.138816,1,rooftop,364,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
348,"49 River St","49 River St",Cambridge,MA,,42.364666,-71.10667,1,rooftop,49,"River St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
349,"2366 Mass. Ave.","2366 Massachusetts Ave",Cambridge,MA,,42.396507,-71.129466,1,rooftop,2366,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
350,"89 Winthrop St.","89 Winthrop St.",Cambridge,MA,,42.372396,-71.12081,1,rooftop,89,"Winthrop St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
351,"6 Plympton St","6 Plympton St",Cambridge,MA,,42.372437,-71.11647,1,rooftop,6,"Plympton St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
352,"1220 Cambridge Street","1220 Cambridge Street",Cambridge,MA,,42.373249,-71.097774,1,rooftop,1220,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
353,"1760 Mass. Ave.","1760 Massachusetts Ave",Cambridge,MA,,42.385249,-71.119543,1,rooftop,1760,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
355,"128 Smith Place","128 Smith Place",Cambridge,MA,,42.393808,-71.150234,1,rooftop,128,"Smith Pl",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
356,"90 Hampshire St.","90 Hampshire St.",Cambridge,MA,,42.368579,-71.094747,1,rooftop,90,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
357,"2400 Mass. Ave.","2400 Massachusetts Ave",Cambridge,MA,,42.39717,-71.130228,1,rooftop,2400,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
358,"90 Hampshire St","90 Hampshire St",Cambridge,MA,,42.368579,-71.094747,1,rooftop,90,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
359,"759 Massachusetts Ave","759 Massachusetts Ave",Cambridge,MA,,42.36657,-71.105351,1,rooftop,759,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
361,"1768 Mass. Ave.","1768 Massachusetts Ave",Cambridge,MA,,42.385441,-71.119523,1,rooftop,1768,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
362,"2300 Mass. Ave","2300 Massachusetts Ave",Cambridge,MA,,42.395108,-71.127897,1,rooftop,2300,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
363,"5 Arrow St","5 Arrow St",Cambridge,MA,,42.371205,-71.114632,1,rooftop,5,"Arrow St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
364,"1760 Mass Ave","1760 Massachusetts Ave",Cambridge,MA,,42.385249,-71.119543,1,rooftop,1760,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
365,"248 Huron Ave","248 Huron Ave",Cambridge,MA,,42.381352,-71.133857,1,rooftop,248,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
366,"117 Hampshire Street","117 Hampshire Street",Cambridge,MA,,42.369909,-71.096,1,rooftop,117,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
367,"288 Harvard St.","288 Harvard St.",Cambridge,MA,,42.369309,-71.104932,1,rooftop,288,"Harvard St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
368,"997 Massachusetts Ave","997 Massachusetts Ave",Cambridge,MA,,42.369401,-71.111102,1,rooftop,997,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
369,"1400 Mass Ave","1400 Massachusetts Ave",Cambridge,MA,,42.373652,-71.119358,1,rooftop,1400,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
371,"1706 Mass. Ave.","1706 Massachusetts Ave",Cambridge,MA,,42.383305,-71.119762,1,rooftop,1706,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
373,"1256 Mass. Ave.","1256 Massachusetts Ave",Cambridge,MA,,42.372557,-71.116293,1,rooftop,1256,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
375,"186 Hampshire Street","186 Hampshire Street",Cambridge,MA,,42.372519,-71.099558,1,rooftop,186,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
376,"1664 Mass. Ave.","1664 Massachusetts Ave",Cambridge,MA,,42.38197,-71.119896,1,rooftop,1664,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
379,"288 Green St","288 Green St",Cambridge,MA,,42.364737,-71.104254,1,rooftop,288,"Green St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
380,"1111 Cambridge Street","1111 Cambridge Street",Cambridge,MA,,42.373165,-71.095685,1,rooftop,1111,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
381,"35 White St.","35 White St.",Cambridge,MA,,42.388914,-71.119192,1,rooftop,35,"White St",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
382,"294 Massachusetts Ave","294 Massachusetts Ave",Cambridge,MA,,42.361983,-71.098506,1,rooftop,294,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
383,"143 First St","143 First St",Cambridge,MA,,42.366496,-71.07801,1,rooftop,143,"1st St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
387,"208 Concord Ave","208 Concord Ave",Cambridge,MA,,42.382508,-71.131357,1,rooftop,208,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
388,"1663 Mass Ave.","1663 Massachusetts Ave",Cambridge,MA,,42.381823,-71.119516,1,rooftop,1663,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
390,"1271 Cambridge Street","1271 Cambridge Street",Cambridge,MA,,42.373558,-71.098697,1,rooftop,1271,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
392,"565 Massachusetts Ave.","565 Massachusetts Ave.",Cambridge,MA,,42.364789,-71.10236,1,rooftop,565,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
393,"8 Bow St","8 Bow St",Cambridge,MA,,42.371841,-71.115534,1,rooftop,8,"Bow St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
394,"581 Mass. Ave.","581 Massachusetts Ave",Cambridge,MA,,42.365016,-71.102736,1,rooftop,581,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
395,"1702 Mass. Ave.","1702 Massachusetts Ave",Cambridge,MA,,42.383187,-71.119761,1,rooftop,1702,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
396,"1238 Mass. Ave.","1238 Massachusetts Ave",Cambridge,MA,,42.372362,-71.115943,1,rooftop,1238,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
398,"1680 Mass. Ave.","1680 Massachusetts Ave",Cambridge,MA,,42.382433,-71.119841,1,rooftop,1680,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
399,"282 Concord Ave","282 Concord Ave",Cambridge,MA,,42.383521,-71.133652,1,rooftop,282,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
400,"2 Ellery St","2 Ellery St",Cambridge,MA,,42.369697,-71.111698,1,rooftop,2,"Ellery St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
401,"1654 Mass. Ave.","1654 Massachusetts Ave",Cambridge,MA,,42.381626,-71.11995,1,rooftop,1654,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
402,"361 Cambridge St","361 Cambridge St",Cambridge,MA,,42.371411,-71.082079,1,rooftop,361,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
403,"130 Fawcett St","130 Fawcett St",Cambridge,MA,,42.39336,-71.148158,1,rooftop,130,"Fawcett St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
405,"1426 Cambridge Street","1426 Cambridge Street",Cambridge,MA,,42.373774,-71.10201,1,rooftop,1426,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
406,"23 Bay State Road","23 Bay State Road",Cambridge,MA,,42.387338,-71.140316,1,rooftop,23,"Bay State Rd",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
407,"161 Huron Ave","161 Huron Ave",Cambridge,MA,,42.382437,-71.131248,1,rooftop,161,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
408,"40 Prospect St","40 Prospect St",Cambridge,MA,,42.366127,-71.103276,1,rooftop,40,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
409,"566 Cambridge St","566 Cambridge St",Cambridge,MA,,42.371688,-71.085773,1,rooftop,566,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
410,"17 Central Square","17 Central Square",Cambridge,MA,,42.365375,-71.10476,1,rooftop,17,"Central Sq",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
411,"243 Hampshire Street","243 Hampshire Street",Cambridge,MA,,42.374111,-71.101111,1,rooftop,243,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
412,"1414 Cambridge Street","1414 Cambridge Street",Cambridge,MA,,42.373737,-71.101571,1,rooftop,1414,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
413,"1337 Cambridge Street","1337 Cambridge Street",Cambridge,MA,,42.373706,-71.099852,1,rooftop,1337,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
414,"1298 Cambridge Street","1298 Cambridge Street",Cambridge,MA,,42.373426,-71.099173,1,rooftop,1298,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
415,"1226 Cambridge Street","1226 Cambridge Street",Cambridge,MA,,42.37326,-71.09786,1,rooftop,1226,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
416,"1110 Massachusetts Ave","1110 Massachusetts Ave",Cambridge,MA,,42.370618,-71.11378,1,rooftop,1110,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
417,"24 Irving St.","24 Irving St.",Cambridge,MA,,42.37555,-71.110832,1,rooftop,24,"Irving St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
418,"1168 Massachusetts Ave","1168 Massachusetts Ave",Cambridge,MA,,42.371371,-71.114715,1,rooftop,1168,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
420,"169 Harvard Street","169 Harvard Street",Cambridge,MA,,42.366212,-71.095607,1,rooftop,169,"Harvard St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
421,"1320 Mass Ave","1320 Massachusetts Ave",Cambridge,MA,,42.372932,-71.117663,1,rooftop,1320,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
422,"340 Huron Avve.","340 Huron Ave.",Cambridge,MA,,42.381177,-71.137802,1,rooftop,340,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
423,"1312 Mass. Ave.","1312 Massachusetts Ave",Cambridge,MA,,42.372894,-71.11751,1,rooftop,1312,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
424,"1937 Mass. Ave.","1937 Massachusetts Ave",Cambridge,MA,,42.389651,-71.119992,1,rooftop,1937,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
426,"298 Concord Ave","298 Concord Ave",Cambridge,MA,,42.383856,-71.134341,1,rooftop,298,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
428,"42 Prospect St","42 Prospect St",Cambridge,MA,,42.366178,-71.103218,1,rooftop,42,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
429,"2388 Mass. Ave.","2388 Massachusetts Ave",Cambridge,MA,,42.396943,-71.129961,1,rooftop,2388,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
430,"16 Prospect St","16 Prospect St",Cambridge,MA,,42.365831,-71.103587,1,rooftop,16,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
431,"1792 Mass. Ave.","1792 Massachusetts Ave",Cambridge,MA,,42.386014,-71.119458,1,rooftop,1792,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
432,"356 Third Street","356 Third Street",Cambridge,MA,,42.363619,-71.083436,1,rooftop,356,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
433,"131 Sherman St","131 Sherman St",Cambridge,MA,,42.390227,-71.132803,1,rooftop,131,"Sherman St",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
434,"1765 Mass. Ave.","1765 Massachusetts Ave",Cambridge,MA,,42.385303,-71.119147,1,rooftop,1765,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
435,"1725 Mass. Ave.","1725 Massachusetts Ave",Cambridge,MA,,42.384049,-71.119081,1,rooftop,1725,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
436,"2374 Mass. Ave.","2374 Massachusetts Ave",Cambridge,MA,,42.396678,-71.129667,1,rooftop,2374,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
437,"1120 Massachusetts Ave","1120 Massachusetts Ave",Cambridge,MA,,42.370749,-71.113942,1,rooftop,1120,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
438,"1740 Mass. Ave.","1740 Massachusetts Ave",Cambridge,MA,,42.384637,-71.11961,1,rooftop,1740,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
439,"96 Ames Street","96 Ames Street",Cambridge,MA,,42.363312,-71.087597,1,rooftop,96,"Ames St",,,Cambridge,MA,"Middlesex County",02142,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
440,"350 Main Street","350 Main Street",Cambridge,MA,,42.362397,-71.087277,1,rooftop,350,"Main St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
441,"201 Third Street","201 Third Street",Cambridge,MA,,42.367624,-71.08128,1,rooftop,201,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
442,"201 Broadway","201 Broadway",Cambridge,MA,,42.366109,-71.092582,1,rooftop,201,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
443,"365 Binney Street","365 Binney Street",Cambridge,MA,,42.367038,-71.089418,0.9,range_interpolation,365,"Binney St",,,Cambridge,MA,"Middlesex County",02139,US,"TIGER/Line® dataset from the US Census Bureau"
444,"52 Brattle St","52 Brattle St",Cambridge,MA,,42.374293,-71.121933,1,rooftop,52,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
445,"2362 Mass. Ave.","2362 Massachusetts Ave",Cambridge,MA,,42.396355,-71.129304,1,rooftop,2362,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
447,"21 Dunster St","21 Dunster St",Cambridge,MA,,42.372752,-71.119137,1,rooftop,21,"Dunster St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
448,"220 Concord Ave","220 Concord Ave",Cambridge,MA,,42.382634,-71.131733,1,rooftop,220,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
449,"284 Broadway","284 Broadway",Cambridge,MA,,42.367969,-71.097865,1,rooftop,284,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
450,"489 Concord Ave","489 Concord Ave",Cambridge,MA,,42.386869,-71.140688,1,rooftop,489,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
451,"270 Concord Ave","270 Concord Ave",Cambridge,MA,,42.383389,-71.133258,1,rooftop,270,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
454,"480 Cambridge St","480 Cambridge St",Cambridge,MA,,42.371504,-71.084314,1,rooftop,480,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
455,"425-429 Cambridge St","425-429 Cambridge St",Cambridge,MA,,42.371574,-71.083372,1,rooftop,429,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
456,"657 Cambridge St.","657 Cambridge St.",Cambridge,MA,,42.372078,-71.087292,1,rooftop,657,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
457,"1316 Mass Ave","1316 Massachusetts Ave",Cambridge,MA,,42.372913,-71.117585,1,rooftop,1316,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
458,"355 Main Street","355 Main Street",Cambridge,MA,,42.362644,-71.087116,1,rooftop,355,"Main St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
460,"1348 Cambridge Street","1348 Cambridge Street",Cambridge,MA,,42.37352,-71.099902,1,rooftop,1348,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
462,"44 Prospect St","44 Prospect St",Cambridge,MA,,42.36619,-71.103205,1,rooftop,44,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
463,"575 Massachusetts Ave","575 Massachusetts Ave",Cambridge,MA,,42.364889,-71.102535,1,rooftop,575,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
464,"50 Binney Street","50 Binney Street",Cambridge,MA,,42.36514,-71.079518,1,rooftop,50,"Binney St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
465,"1353 Cambridge Street","1353 Cambridge Street",Cambridge,MA,,42.373735,-71.100065,1,rooftop,1353,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
466,"2 Education Circle","2 Education Circle",Cambridge,MA,,42.369697,-71.068919,1,rooftop,2,"Education Cir",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
467,"102 Oxford St","102 Oxford St",Cambridge,MA,,42.383136,-71.116046,1,rooftop,102,"Oxford St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
468,"2255 Mass. Ave.","2255 Massachusetts Ave",Cambridge,MA,,42.394369,-71.126573,1,rooftop,2255,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
469,"505 Massachusetts Ave","505 Massachusetts Ave",Cambridge,MA,,42.364299,-71.101541,1,rooftop,505,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
470,"765 Massachusetts Ave","765 Massachusetts Ave",Cambridge,MA,,42.366638,-71.105466,1,rooftop,765,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
473,"29 Church St","29 Church St",Cambridge,MA,,42.374471,-71.120126,1,rooftop,29,"Church St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
474,"64 Brattle St","64 Brattle St",Cambridge,MA,,42.375047,-71.122742,1,rooftop,64,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
475,"87 Blanchard Rd","87 Blanchard Rd",Cambridge,MA,,42.394072,-71.158005,1,rooftop,87,"Blanchard Rd",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
476,"635 Cambridge St","635 Cambridge St",Cambridge,MA,,42.372026,-71.086906,1,rooftop,635,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
477,"40 Brattle St #3","40 Brattle St #3",Cambridge,MA,,42.373628,-71.121362,1,rooftop,40,"Brattle St",#,3,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
478,"2 Arrow St","2 Arrow St",Cambridge,MA,,42.370947,-71.114303,1,rooftop,2,"Arrow St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
479,"92 Hampshire St","92 Hampshire St",Cambridge,MA,,42.368731,-71.094904,1,rooftop,92,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
480,"473 Cambridge St","473 Cambridge St",Cambridge,MA,,42.371674,-71.084137,1,rooftop,473,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
481,"95 First Street","95 First Street",Cambridge,MA,,42.368038,-71.077657,1,rooftop,95,"1st St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
482,"660 Cambridge St","660 Cambridge St",Cambridge,MA,,42.371927,-71.087615,1,rooftop,660,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
483,"1 Shepard St","1 Shepard St",Cambridge,MA,,42.38185,-71.120137,1,rooftop,1,"Shepard St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
